avg_salary,Rating,Size,Type of ownership,Industry,Sector,Revenue,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
485,4.2,10000+ Employees,Company - Private,Biotech & Pharmaceutical,Biotech & Pharmaceutical,$10+ billion (USD),Bangalore,158,0,0,0,0,0,data scientist,na,807
570,-1,Unknown,Company - Public,-1,-1,Unknown / Non-Applicable,Bangalore,-1,1,0,0,1,0,data scientist,na,941
396,4,10000+ Employees,Company - Public,Insurance Agencies & Brokerage,Insurance,$10+ billion (USD),Bangalore,158,0,1,0,0,1,data scientist,na,2375
489,3.8,10000+ Employees,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),Calcutta,24,0,0,0,0,0,analyst,na,609
690.5,4.4,5001 to 10000 Employees,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),Bangalore,38,0,0,0,0,0,data engineer,na,392
450,4.3,10000+ Employees,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore,37,0,1,0,0,0,data engineer,na,3134
638,4.3,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),Bangalore,29,0,1,0,1,0,data engineer,na,683
804,3.8,10000+ Employees,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Hyderābād,43,0,0,0,0,0,data engineer,na,1113
640.5,4.1,501 to 1000 Employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Bangalore,14,0,1,0,0,0,data scientist,na,1216
468,4.2,10000+ Employees,Company - Public,IT Service,Information Technology,Unknown / Non-Applicable,Bangalore,21,0,0,0,0,0,data engineer,na,208
286.5,4.4,10000+ Employees,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Hyderābād,46,0,0,0,0,0,data scientist,na,1061
467,3.5,201 to 500 Employees,Company - Private,Consulting,Business Service,Unknown / Non-Applicable,Ahmedabad,14,0,0,0,0,0,data scientist,na,900
488.5,3.9,10000+ Employees,Company - Private,Architectural & Engineering Service,Business Service,$10+ billion (USD),South Andaman,123,0,0,0,0,0,mle,na,646
467,3.8,10000+ Employees,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore,40,0,0,0,0,0,na,na,1412
764,3.8,51 to 200 Employees,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,Bangalore,17,0,0,0,0,0,data scientist,senior,511
571.5,3.1,51 to 200 Employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),Pune,9,0,0,0,0,0,data scientist,na,1361
745,3.7,10000+ Employees,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),Bangalore,169,0,0,0,0,1,data scientist,na,2465
860,3.8,1001 to 5000 Employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Pune,20,0,0,0,0,0,data scientist,na,521
835.5,4.2,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Bangalore,6,0,0,0,0,0,data scientist,na,663
608,4.3,201 to 500 Employees,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,Hyderābād,9,0,0,0,1,0,na,na,935
580,3.6,51 to 200 Employees,Unknown,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable,Mumbai,10,0,0,0,0,0,data scientist,na,391
590,4.3,201 to 500 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),Coimbatore,16,1,0,0,0,1,data scientist,na,1552
467,3.5,201 to 500 Employees,Company - Private,Consulting,Business Service,Unknown / Non-Applicable,Ahmedabad,14,0,0,0,0,0,data scientist,na,900
722,3.2,10000+ Employees,Company - Private,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable,Bangalore,64,0,0,0,0,0,data scientist,na,122
571,4.4,51 to 200 Employees,Company - Private,Lending,Finance,Unknown / Non-Applicable,Chennai,7,0,0,0,0,0,analyst,jr,576
450,4.3,10000+ Employees,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore,37,1,1,0,1,0,data engineer,na,5024
907,4,10000+ Employees,Company - Private,Consulting,Business Service,$5 to $10 million (USD),Bangalore,58,0,0,0,0,0,data scientist,senior,171
