Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,₹970K - 0 (Glassdoor Est.),Data Scientist,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.
Data Scientist

POSITION PURPOSE:

The individual works collaboratively with interdisciplinary scientists, IT and engineering professionals across the organization to solve critical problems and answer important questions that drive key decisions for our business.

Fosters new game changing ideas to produce sophisticated, intelligent optimization solutions and predictive models.

Works on a team as an individual contributor with other Data Scientists.",Bayer,4.2,Bangalore,10000+ Employees,1863,Company - Private,Biotech & Pharmaceutical,Biotech & Pharmaceutical,$10+ billion (USD)
Data Scientist,-1,Data Scientist,"55022

Job Summary
This Cloud Business Operations Data Scientist will be the primary go to person for all of NetApp Public Cloud Services needs for analyzing tons of cloud services usage and billing data to derive intelligent business insights for enabling NetApp’s highest growth business. This person will be an expert in both understanding the data, as well as architecting and developing business logic and code to deliver automation in business intelligence. This is a highly technical role with deep understanding of Python, Ruby, R, SQL databases, visualization on Tableau, and scripting, along with years of experience in cloud services business operations. Knowledge of public cloud-based transactions on the top 3 cloud provider marketplaces (AWS, Azure and GCP) is a must, along with experience and understanding of integrations with internal systems for CRM, CPQ, Subscriptions Billing and Finance.

This role will coordinate with Sales management, IT and operations, and other NetApp functions including product management, marketing, and finance to understand, analyze and improve product pricing, SKU design, and transaction processing of our existing cloud offerings and upcoming innovations. This role will also act as the primary operations liaison between product management teams and business operations. The right person for this role has deep understanding of public cloud marketplace transaction processing, billing, metering, and revenue/usage reporting. This person also has extensive experience in dealing with cross-functional business requirements and engaging with key stakeholders at both the executive/VP level and with delivery teams.


Database, Scientific, Engineer, Consulting, Cloud, Engineering, Technology",NetApp,4.3,Bangalore,10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
Data Scientist (5+ years experience),₹390K - ₹750K (Glassdoor Est.),Data Scientist,"Canary Global Inc.’ builds cutting edge diagnostic sensors that help doctors recognize diseases earlier and help patients be healthier and happier.
We are seeking an experienced data scientist to build a python-based classification model prototype that analyses raw data files and establishes output data ranges across dimensions. This data model will deliver analytical results indicating type based on the inputted data. It should run on all new samples received in our cloud, accepting payloads and outputting staged-output scores. Outputs will be appended to existing record for review, analysis, and reporting. Sample data is currently in an AWS cloud which is where your model will reside and be deployed. Upon completion, the deployed model will automatically ingest, process new data samples received through a web app and stored in an AWS DB, outputting classification results. Results will classify/stratify into groups of cohorts.",BreathX Technologies Pvt Ltd,-1,Bangalore,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Engineer II,-1,Data Engineer,"About the Role
As an engineer of the Marketplace team, you will be dealing with large scale data pipelines and data sets that are critical and foundational for Uber to make decisions for better customer experience. You will be working on a petabyte scale of analytics data from the multiple Uber applications. Help us build the software systems and data models that will enable data scientists to understand our user behavior better and thrive on the data driven mindset at Uber.

About the Team
EDGE Platform Team at Uber is responsible for building and managing the API Gateways for all the Uber Mobile App Integrations, External API integrations, and streaming data integrations with backend services. The services managed by the EDGE Platform team are some of the most critical services ( Tier 0 services) that Uber business relies on to run securely and efficiently. At peak, the platform handles close to 700K requests per second. 1000s of engineers across all the different Uber Product teams use our platform on a daily basis for creating and updating the API endpoints that are exposed to the outside world.",Uber,4.3,Bangalore,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Engineer,-1,Data Engineer,"Headquartered in Palo Alto, Calif., TIBCO Software empowers executives, developers, and business users with Fast Data solutions that make the right data available in real time for faster answers, better decisions, and smarter action. Over the past 15 years, thousands of businesses across the globe have relied on TIBCO technology to integrate their applications and ecosystems, analyze their data, and create real-time solutions.

Design, build and maintain data integration pipelines and solutions.

Using programming, scripting or tooling to automate the integration, transformation, interpretation and presentation of data and metrics.

Liaising with disparate stakeholders from solution developers to upper management to access data, gather requirements and present solutions.

Support colleagues with ad-hoc requests to assist in data exploration, cataloguing, wrangling and analysis.

? 4+ years working in a technical role

? Proficient understanding of database structures, data types, relational databases.

? Comfortable with multiple programming languages, and with modern programming concepts

? Familiar with Data Engineering concepts, SQL database design, and ETL loads, and interacting with APIs.

? Experience with modern cloud environments and services eg AWS, Azure, GCP

? Experience working with combining structured data from multiple different database types and other sources. Experience with unstructured data is a plus.

? Proficient skills in a modern scripting language, eg Python

? Strong communication skills, both written and verbal

? Willingness to learn new skills, tools and techniques.

? Self-motivated and takes initiative.

? Interest in data science and concepts is a plus (e.g. machine learning, anomaly detection).

? Understanding of financial terms margins, rate cards, revenue, cost, also a plus",TIBCO Software,3.9,Pune,1001 to 5000 Employees,1997,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
Data Scientist,₹792K - 0 (Glassdoor Est.),Data Scientist,"About Swiss Re

Swiss Re is one of the world’s leading providers of reinsurance, insurance and other forms of insurance-based risk transfer, working to make the world more resilient. We anticipate and manage a wide variety of risks, from natural catastrophes and climate change to cybercrime.

At Swiss Re we combine experience with creative thinking and cutting-edge expertise to create new opportunities and solutions for our clients. This is possible thanks to the collaboration of more than 13,000 employees across the world.

We offer a flexible working environment where curious and adaptable people thrive. Are you interested in joining us?

About the Role

We are seeking a highly qualified data scientist passionate for technology and with excellent digital savviness to join our multinational People Analytics team. You will be contributing to Human Resources by applying your statistical and machine learning skills and driving data science capabilities and project within the team.

If you have proactive and curious attitude, backed up by strong technical knowledge and desire to learn new technologies, our team will provide you space for development as well as collaboration, so we can together increase business satisfaction.



We are People Analytics team operating across the globe. To follow trends in HR, we are continuously improving to become more agile and achieve a higher level of operational excellence and efficiency. Four years ago, we started the exciting journey of transforming our capabilities to address the current challenges, but also to be future-ready.



You have proven experience analysing employee related data, have gained an education Computer Science, Applied mathematics, Statistics or other relevant studies.
We are an equal opportunity employer, and we value diversity at our company. Our aim is to live visible and invisible diversity – diversity of age, race, ethnicity, nationality, gender, gender identity, sexual orientation, religious beliefs, physical abilities, personalities and experiences – at all levels and in all functions and regions. We also collaborate in a flexible working environment, providing you with a compelling degree of autonomy to decide how, when and where to carry out your tasks.

We provide feedback to all candidates via email. If you have not heard back from us, please check your spam folder.",Swiss Re,4,Bangalore,10000+ Employees,1863,Company - Public,Insurance Agencies & Brokerage,Insurance,$10+ billion (USD)
Data Engineer,-1,Data Engineer,"Job Requisition ID #
21WD48455

Position Overview

Autodesk Construction Solutions (ACS) is seeking an exceptional data engineer to transform, optimize, test and maintain architectures, for our construction/ customer databases, data pipelines and processing systems, as well as optimizing data flow and collection for cross functional teams. This position will allow ACS to serve relevant data to all stake holders, internally and externally, and will maintain the infrastructure, so the data science and analytics teams can present their work to the organization

Responsibilities
#LI-POST

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.",Autodesk,4.2,Bangalore,5001 to 10000 Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
Business Analyst - Data Scientist,₹388K - ₹590K (Glassdoor Est.),Business Analyst,"Business Analyst - Data Scientist-SDS002477
With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Are you the one we are looking for?
We are inviting applications for the role of BA, Data Scientist
In this role, you will be responsible to demonstrate innovation and technical skills in developing and maintaining the Client Facing Java based web applications.",Genpact,3.8,Calcutta,10000+ Employees,1997,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD)
Data Engineer,₹496K - ₹885K (Glassdoor Est.),Data Engineer,"Overview


The Intuit Data Engineering team is looking for a Software Engineer 2, Big Data with a winning track record in Big Data and Distributed Systems. Were using data in groundbreaking ways to uncover customer insights, personalize customer experiences through AI/ML, and provide a unified customer view across all Intuit products.
What you'll bring
BS in Computer Science. MS Preferred.",Intuit,4.4,Bangalore,5001 to 10000 Employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Data Engineer,₹900K - 0 (Glassdoor Est.),Data Engineer,"What You'll Do

AI has been transforming the way enterprises work and contact centers are no exception; in fact, it's one where AI is increasingly in demand. The use of chat bots, machine comprehension, named-entity recognition, sentiment analysis, recommender systems, speech recognition, fraud detection, etc. has led to boundless improvements in contact center efficiency and customer satisfaction. Cisco's Contact Center solutions enable businesses to improve customer service and deliver personalized customer experiences by harnessing the power of big data and AI — that's what you will do!

Over 3 million agents across 30,000+ different enterprises use Cisco Contact Center solutions and will be using your solutions to deliver a great customer experience to billions of people.

Learn more about our Contact Center solutions here:
http://cs.co/contactcenter


You'll join a newly formed, high-caliber team that's building greenfield AI solutions for contact centers. We're customer-focused, data-informed, passionate about solving challenging problems, keen on getting things done, and we do it all with craftsmanship.



You know how to build AI solutions at scale. As a Data Engineer, you will design and build scalable and reliable Big data pipelines and Stores in our AI Platform. You will contribute to all phases of cloud development including design, coding, reviews, testing, deployment and maintenance. You're passionate about learning, research, and using state-of-the-art technologies and software development techniques.

Your skills and experience include



Cisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis.

Cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.



#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool.",Cisco Systems,4.3,Bangalore,10000+ Employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD)
