Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,age,python_yn,R_yn,spark,aws,excel,company_txt,job_state
Data Scientist,₹970K - 0 (Glassdoor Est.),Data Scientist,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.
Data Scientist

POSITION PURPOSE:

The individual works collaboratively with interdisciplinary scientists, IT and engineering professionals across the organization to solve critical problems and answer important questions that drive key decisions for our business.

Fosters new game changing ideas to produce sophisticated, intelligent optimization solutions and predictive models.

Works on a team as an individual contributor with other Data Scientists.",Bayer,4.2,Bangalore,10000+ Employees,1863,Company - Private,Biotech & Pharmaceutical,Biotech & Pharmaceutical,$10+ billion (USD),970,0,485,158,0,0,0,0,0,Bayer,Bangalore
Data Scientist (5+ years experience),₹390K - ₹750K (Glassdoor Est.),Data Scientist,"Canary Global Inc.’ builds cutting edge diagnostic sensors that help doctors recognize diseases earlier and help patients be healthier and happier.
We are seeking an experienced data scientist to build a python-based classification model prototype that analyses raw data files and establishes output data ranges across dimensions. This data model will deliver analytical results indicating type based on the inputted data. It should run on all new samples received in our cloud, accepting payloads and outputting staged-output scores. Outputs will be appended to existing record for review, analysis, and reporting. Sample data is currently in an AWS cloud which is where your model will reside and be deployed. Upon completion, the deployed model will automatically ingest, process new data samples received through a web app and stored in an AWS DB, outputting classification results. Results will classify/stratify into groups of cohorts.",BreathX Technologies Pvt Ltd,-1,Bangalore,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,390,750,570,-1,1,0,0,1,0,BreathX Technologies Pvt Ltd,Bangalore
Data Scientist,₹792K - 0 (Glassdoor Est.),Data Scientist,"About Swiss Re

Swiss Re is one of the world’s leading providers of reinsurance, insurance and other forms of insurance-based risk transfer, working to make the world more resilient. We anticipate and manage a wide variety of risks, from natural catastrophes and climate change to cybercrime.

At Swiss Re we combine experience with creative thinking and cutting-edge expertise to create new opportunities and solutions for our clients. This is possible thanks to the collaboration of more than 13,000 employees across the world.

We offer a flexible working environment where curious and adaptable people thrive. Are you interested in joining us?

About the Role

We are seeking a highly qualified data scientist passionate for technology and with excellent digital savviness to join our multinational People Analytics team. You will be contributing to Human Resources by applying your statistical and machine learning skills and driving data science capabilities and project within the team.

If you have proactive and curious attitude, backed up by strong technical knowledge and desire to learn new technologies, our team will provide you space for development as well as collaboration, so we can together increase business satisfaction.



We are People Analytics team operating across the globe. To follow trends in HR, we are continuously improving to become more agile and achieve a higher level of operational excellence and efficiency. Four years ago, we started the exciting journey of transforming our capabilities to address the current challenges, but also to be future-ready.



You have proven experience analysing employee related data, have gained an education Computer Science, Applied mathematics, Statistics or other relevant studies.
We are an equal opportunity employer, and we value diversity at our company. Our aim is to live visible and invisible diversity – diversity of age, race, ethnicity, nationality, gender, gender identity, sexual orientation, religious beliefs, physical abilities, personalities and experiences – at all levels and in all functions and regions. We also collaborate in a flexible working environment, providing you with a compelling degree of autonomy to decide how, when and where to carry out your tasks.

We provide feedback to all candidates via email. If you have not heard back from us, please check your spam folder.",Swiss Re,4,Bangalore,10000+ Employees,1863,Company - Public,Insurance Agencies & Brokerage,Insurance,$10+ billion (USD),792,0,396,158,0,1,0,0,1,Swiss Re,Bangalore
Business Analyst,₹388K - ₹590K (Glassdoor Est.),Business Analyst,"Business Analyst - Data Scientist-SDS002477
With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Are you the one we are looking for?
We are inviting applications for the role of BA, Data Scientist
In this role, you will be responsible to demonstrate innovation and technical skills in developing and maintaining the Client Facing Java based web applications.",Genpact,3.8,Calcutta,10000+ Employees,1997,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),388,590,489,24,0,0,0,0,0,Genpact,Calcutta
Data Engineer,₹496K - ₹885K (Glassdoor Est.),Data Engineer,"Overview


The Intuit Data Engineering team is looking for a Software Engineer 2, Big Data with a winning track record in Big Data and Distributed Systems. Were using data in groundbreaking ways to uncover customer insights, personalize customer experiences through AI/ML, and provide a unified customer view across all Intuit products.
What you'll bring
BS in Computer Science. MS Preferred.",Intuit,4.4,Bangalore,5001 to 10000 Employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),496,885,690.5,38,0,0,0,0,0,Intuit,Bangalore
Data Engineer,₹900K - 0 (Glassdoor Est.),Data Engineer,"What You'll Do

AI has been transforming the way enterprises work and contact centers are no exception; in fact, it's one where AI is increasingly in demand. The use of chat bots, machine comprehension, named-entity recognition, sentiment analysis, recommender systems, speech recognition, fraud detection, etc. has led to boundless improvements in contact center efficiency and customer satisfaction. Cisco's Contact Center solutions enable businesses to improve customer service and deliver personalized customer experiences by harnessing the power of big data and AI — that's what you will do!

Over 3 million agents across 30,000+ different enterprises use Cisco Contact Center solutions and will be using your solutions to deliver a great customer experience to billions of people.

Learn more about our Contact Center solutions here:
http://cs.co/contactcenter


You'll join a newly formed, high-caliber team that's building greenfield AI solutions for contact centers. We're customer-focused, data-informed, passionate about solving challenging problems, keen on getting things done, and we do it all with craftsmanship.



You know how to build AI solutions at scale. As a Data Engineer, you will design and build scalable and reliable Big data pipelines and Stores in our AI Platform. You will contribute to all phases of cloud development including design, coding, reviews, testing, deployment and maintenance. You're passionate about learning, research, and using state-of-the-art technologies and software development techniques.

Your skills and experience include



Cisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis.

Cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.



#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool.",Cisco Systems,4.3,Bangalore,10000+ Employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),900,0,450,37,0,1,0,0,0,Cisco Systems,Bangalore
Data Engineer,₹510K - ₹766K (Glassdoor Est.),Data Engineer,"67203

Job Summary
We are looking for Data Enthusiastic Software Engineers to join our DATA TEAM.

We build a platform to support the business operations and improve productivity throughout the organization, working with a variety of data sources, technologies and stakeholders.

Our current tech stack is: Node.js, ELK, DynamoDB, MySQL, Serverless (Lambda) and other AWS services. The list is ever changing…

Most of the programming is done with JavaScript and SQL.

We have an extensive set of automated tests (unit/E2E/UI), that help us deliver high quality services.

You will:


















Database, Electrical, Engineer, Computer Science, Technology, Engineering, Research",NetApp,4.3,Bangalore,10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),510,766,638,29,0,1,0,1,0,NetApp,Bangalore
Data Engineer,₹756K - ₹852K (Glassdoor Est.),Data Engineer,"Req. ID: 283502
Micron Technology’s vision is to transform how the world uses information to enrich life and our commitment to people, innovation, tenacity, collaboration, and customer focus allows us to fulfill our mission to be a global leader in memory and storage solutions. This means conducting business with integrity, accountability, and professionalism while supporting our global community.

As a Global Procurement Data Engineer at Micron Technology Inc., you are a key member of a cross-functional team responsible for developing advanced solutions and predictive models that enable speed in decision making and deliver significant value across procurement. You are required constantly to learn new cutting-edge technology and creatively apply/deliver solutions to the Global Procurement area. You will collaborate with various roles and teams across the enterprise to design and implement solutions to extract data and insights from Global Procurement team and partnering organizations such as Supply Chain and IT, as well as Master Data, Data Governance and Data Scientist throughout the enterprise.",Micron,3.8,Hyderābād,10000+ Employees,1978,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),756,852,804,43,0,0,0,0,0,Micron,Hyderābād
Data Scientist III - CDP,₹558K - ₹723K (Glassdoor Est.),Data Scientist,"Who are we and What do we do?
InMobi is a global provider of enterprise platform for marketers. Our platforms help Marketers reach nearly 1.56 billion unique users through mobile to help them engage, acquire, re-engage, re-market and retain valuable users. InMobi is also India's first unicorn and one of the only profitable global tech-product companies to emerge out of India.
At 20+ offices across the globe, InMobi employs over 1000 personnel constituting 25 nationalities. Acclaimed for its culture, InMobi has consecutively featured on the Great Places to Work (GPTW) list, with a consistent hold in the Top 50 position for the past two years. Moreover, these accolades are not just restricted to India, InMobi has also secured a ranking on the GPTW's 2017 China List, a notable feat for an Indian startup.
InMobi has also regularly featured on world disruptor lists – MIT Technology Review's 2013 50 Disruptive Companies; Fast Company's Most Innovative Companies for 2016, 2018; CNBC's Disruptor 50 list of 2018, here InMobi was selected amongst a pool of more than 980 forward-thinking and ambitiou private companies across the globe, we now share this space with the likes of SpaceX, Airbnb, Uber and so on.",InMobi,4.1,Bangalore,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,558,723,640.5,14,0,1,0,0,0,InMobi,Bangalore
Data Engineer,₹936K - 0 (Glassdoor Est.),Data Engineer,"Location


Bangalore

Office Address

Project Description


This project is related to a large retailer in UK to work on Supplier lifecycle Management, Product Life Cycle Management and Price and promotions .",Luxoft,4.2,Bangalore,10000+ Employees,2000,Company - Public,IT Service,Information Technology,Unknown / Non-Applicable,936,0,468,21,0,0,0,0,0,Luxoft,Bangalore
